Id,Name,Address,District,City,Latitude,Longitude,AvgRating,TotalReviews,TotalPictures,TotalViews,PriceMin,PriceMax,PriceRangeDisplay,Phone,IsOpening,HasDelivery,HasBooking,HasPromotion,PromotionTitle,Categories,Cuisines,PhotoUrl,FoodyUrl,DeliveryUrl
934233,Bông Food & Drink - Núi Thành,"500 Núi Thành, P. Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",Quận Hải Châu,Đà Nẵng,16.035682,108.222473,6.096,27,38,0,,,,0937974223,True,False,False,False,,Café/Dessert,Món Việt,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu7wqzqq4rdd2@resize_ss640x400,https://www.foody.vn/da-nang/bong-food-drink-nui-thanh,/da-nang/bong-food-drink-nui-thanh/goi-mon
647980,Bếp Bố Nhiên - Bún Chả Hà Nội & Bún Đậu Mắm Tôm,"135 Hà Huy Tập, Quận Thanh Khê, Đà Nẵng",Quận Thanh Khê,Đà Nẵng,16.0645878,108.1921014,7.42,10,39,0,,,,Đang cập nhật,True,False,False,False,,Ăn vặt/vỉa hè,Món Bắc,https://down-vn.img.susercontent.com/vn-11134513-7ra0g-m8tvz2x2dq4idc@resize_ss640x400,https://www.foody.vn/da-nang/bep-bo-nhien-bun-cha-ha-noi-bun-dau-mam-tom,/da-nang/bep-bo-nhien-bun-cha-ha-noi-bun-dau-mam-tom/goi-mon
656227,Bún Bò Dì Hồng,"135 Nguyễn Công Trứ, P. An Hải Bắc, Quận Sơn Trà, Đà Nẵng",Quận Sơn Trà,Đà Nẵng,16.0671,108.2351951,6.802,3,10,0,,,,0944 612 288,True,False,False,False,,Quán ăn,Món Miền Trung,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lstzxx6bb4xw7e@resize_ss640x400,https://www.foody.vn/da-nang/bun-bo-di-hong,/da-nang/bun-bo-di-hong/goi-mon
277962,Cơm Gà Như Ngọc,"47 Dương Thị Xuân Quý, P. Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",Quận Ngũ Hành Sơn,Đà Nẵng,16.0417761,108.243975,4.458,7,21,0,,,,0913 045 607,True,False,False,False,,Quán ăn,Món Việt,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lstxzoc9ya3d0d@resize_ss640x400,https://www.foody.vn/da-nang/hong-ngoc-com-ga,/da-nang/hong-ngoc-com-ga/goi-mon
7915,Bún Chả Cá Hờn - Nguyễn Chí Thanh,"113/3 Nguyễn Chí Thanh, P. Hải Châu 1, Quận Hải Châu, Đà Nẵng",Quận Hải Châu,Đà Nẵng,16.0741662,108.2210364,7.644,120,296,0,,,,0906 135 252 - (0236) 3 810 337,True,False,False,False,,Quán ăn,Món Miền Trung,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lstq4gxtor7o63@resize_ss640x400,https://www.foody.vn/da-nang/hon-bun-cha-ca,/da-nang/hon-bun-cha-ca/goi-mon
944440,Vo Nhu Ngoc - Chân Gà Sốt Thái - Dương Đình Nghệ,"282/4 Dương Đình Nghệ, P. An Hải Bắc, Quận Sơn Trà, Đà Nẵng",Quận Sơn Trà,Đà Nẵng,16.0711554,108.2321563,9.4,1,2,0,,,,Đang cập nhật,True,False,False,False,,Shop Online,Món Việt,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu8565j34jof9@resize_ss640x400,https://www.foody.vn/da-nang/vo-nhu-ngoc-chan-ga-sot-thai-duong-dinh-nghe,/da-nang/vo-nhu-ngoc-chan-ga-sot-thai-duong-dinh-nghe/goi-mon
41442,Bà Tình - Bánh Xèo Miền Trung - Hoàng Diệu,"280/14 Hoàng Diệu, P. Bình Hiên, Quận Hải Châu, Đà Nẵng",Quận Hải Châu,Đà Nẵng,16.0588819,108.217014,7.316,24,117,0,,,,Đang cập nhật,True,False,False,False,,Quán ăn,Món Quảng,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lstri6tog3a18c@resize_ss640x400,https://www.foody.vn/da-nang/banh-xeo-mien-trung-hoang-dieu,/da-nang/banh-xeo-mien-trung-hoang-dieu/goi-mon
1000000329,Tré Trộn Tam Giác - Ông Ích Khiêm,"164 Ông Ích Khiêm, P. Xuân Hà, Quận Thanh Khê, Đà Nẵng",Quận Thanh Khê,Đà Nẵng,16.073664,108.213429,5.0,2,21,0,,,,Đang cập nhật,True,False,False,False,,Shop Online,Món Việt,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsvdr965knfd16@resize_ss640x400,https://www.foody.vn/da-nang/tre-tron-tam-giac-ong-ich-khiem,/da-nang/tre-tron-tam-giac-ong-ich-khiem/goi-mon
84779,Bánh Xèo Lipton,"280/21 Hoàng Diệu, P. Nam Dương, Quận Hải Châu, Đà Nẵng",Quận Hải Châu,Đà Nẵng,16.058944,108.217134,7.6,30,65,0,,,,Đang cập nhật,True,False,False,False,,Quán ăn,Món Việt,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsts8jmxxnyx68@resize_ss640x400,https://www.foody.vn/da-nang/banh-xeo-lipton,/da-nang/banh-xeo-lipton/goi-mon
897425,Lò Bánh Bèo Thảo,"K64/2 Pasteur, P. Hải Châu 1 (Nhà Trong Hẽm Caphe Tâm), Quận Hải Châu, Đà Nẵng",Quận Hải Châu,Đà Nẵng,16.069885,108.217856,9.0,1,13,0,,,,0774907449,True,False,False,False,,Shop Online,,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu774b2yowp68@resize_ss640x400,https://www.foody.vn/da-nang/lo-banh-beo-thao,/da-nang/lo-banh-beo-thao/goi-mon
150789,Phố Cổ Hà Nội - Nem Chua Rán Số 1 - Ngô Thì Nhậm,"43 Ngô Thì Nhậm, P. Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",Quận Liên Chiểu,Đà Nẵng,16.07097,108.154934,7.182,62,247,0,,,,Đang cập nhật,False,False,False,False,,Ăn vặt/vỉa hè,Hà Nội,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lstufbdc6l5l4f@resize_ss640x400,https://www.foody.vn/da-nang/pho-co-ha-noi-nem-chua-ran-so-1-ngo-thi-nham,/da-nang/pho-co-ha-noi-nem-chua-ran-so-1-ngo-thi-nham/goi-mon
1027161,Bonchon Chicken - Lê Hồng Phong,"12 Lê Hồng Phong, P. Phước Ninh, Quận Hải Châu, Đà Nẵng",Quận Hải Châu,Đà Nẵng,16.0641704,108.22296,8.278,8,48,0,,,,Đang cập nhật,True,False,False,False,,Nhà hàng,Món Việt,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsua95ewd4n84a@resize_ss640x400,https://www.foody.vn/da-nang/bonchon-chicken-le-hong-phong,/da-nang/bonchon-chicken-le-hong-phong/goi-mon
1002322,CM Chicken - Gà Rán Hàn Quốc - Hồ Nghinh,"170 Hồ Nghinh, P. Phước Mỹ, Quận Sơn Trà, Đà Nẵng",Quận Sơn Trà,Đà Nẵng,16.0719984,108.2428646,9.58,10,87,0,,,,0349894989,False,False,False,False,,Nhà hàng,Món Hàn,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu9gxdl7lax2b@resize_ss640x400,https://www.foody.vn/da-nang/cm-chicken-ga-ran-han-quoc-ho-nghinh,/da-nang/cm-chicken-ga-ran-han-quoc-ho-nghinh/goi-mon
109547,Bún Chả Cá Hà,"75 Huỳnh Thúc Kháng, P. Nam Dương, Quận Hải Châu, Đà Nẵng",Quận Hải Châu,Đà Nẵng,16.05978,108.218331,7.946,11,84,0,,,,0935 557 801,True,False,False,False,,Quán ăn,Món Quảng,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lstsz7xmnnic51@resize_ss640x400,https://www.foody.vn/da-nang/bun-cha-ca-ha-huynh-thuc-khang,/da-nang/bun-cha-ca-ha-huynh-thuc-khang/goi-mon
125877,Chè Liên Đà Nẵng - Chè Sầu Liên - Lê Thanh Nghị,"37 Lê Thanh Nghị, P. Hoà Cường Bắc, Quận Hải Châu, Đà Nẵng",Quận Hải Châu,Đà Nẵng,16.0426941,108.2178158,5.806,60,152,0,,,,Đang cập nhật,True,False,False,False,,Ăn vặt/vỉa hè,Món Việt,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsttk8ctq3escc@resize_ss640x400,https://www.foody.vn/da-nang/che-thai-lien-le-thanh-nghi,/da-nang/che-thai-lien-le-thanh-nghi/goi-mon
976037,"Bi Mỹ Chợ Cồn - Bánh Tráng Thịt Heo, Bún Mắm & Nước Ép","Lô 51 - 52 Đ15A Chợ Cồn, Ông Ích Khiêm, P. Hải Châu 1, Quận Hải Châu, Đà Nẵng",Quận Hải Châu,Đà Nẵng,16.0686444,108.214031,6.56,10,41,0,,,,Đang cập nhật,True,False,False,False,,Quán ăn,Món Miền Trung,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu8t019oiis67@resize_ss640x400,https://www.foody.vn/da-nang/bi-my-cho-con-banh-trang-thit-heo-bun-mam-nuoc-ep,/da-nang/bi-my-cho-con-banh-trang-thit-heo-bun-mam-nuoc-ep/goi-mon
1129774,Cơm Gà Bà Ba Đà Nẵng - Trần Bạch Đằng,"250-252 Đường Trần Bạch Đằng, P. Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",Quận Ngũ Hành Sơn,Đà Nẵng,16.048988,108.247871,7.9,4,2,0,,,,Đang cập nhật,True,False,False,False,,Quán ăn,,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsv86o2csc78cc@resize_ss640x400,https://www.foody.vn/da-nang/com-ga-ba-ba-da-nang-tran-bach-dang,/da-nang/com-ga-ba-ba-da-nang-tran-bach-dang/goi-mon
1147472,Gà Rán KFC - Ngô Văn Sở,"28-30 Ngô Văn Sở, P. Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",Quận Liên Chiểu,Đà Nẵng,16.068899,108.150329,1.0,1,0,0,,,,Đang cập nhật,True,False,False,False,,Quán ăn,,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsv9evopn4qse6@resize_ss640x400,https://www.foody.vn/da-nang/ga-ran-kfc-ngo-van-so,/da-nang/ga-ran-kfc-ngo-van-so/goi-mon
225485,Tàu Hủ Xe Lam - Trần Phú,"176 Trần Phú, P. Phước Ninh, Quận Hải Châu, Đà Nẵng",Quận Hải Châu,Đà Nẵng,16.0657018,108.2235845,7.42,360,2008,0,,,,Đang cập nhật,True,False,False,False,,Ăn vặt/vỉa hè,Món Việt,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lstwx1lr4knt44@resize_ss640x400,https://www.foody.vn/da-nang/tau-hu-xe-lam,/da-nang/tau-hu-xe-lam/goi-mon
209552,Cơm Gà Gia Vĩnh - Hoàng Diệu,"Số 37, Đường Hoàng Diệu, P. Phước Ninh, Quận Hải Châu, Đà Nẵng",Quận Hải Châu,Đà Nẵng,16.065105,108.219329,7.6,56,204,0,,,,0905 090 353,True,False,False,False,,Quán ăn,Món Việt,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lstwdkjb3dzt0a@resize_ss640x400,https://www.foody.vn/da-nang/com-ga-gia-vinh-hoang-dieu,/da-nang/com-ga-gia-vinh-hoang-dieu/goi-mon
32752,Chè Liên Đà Nẵng - Chè Sầu Liên - Hải Phòng,"175 Hải Phòng, P. Tân Chính, Quận Thanh Khê, Đà Nẵng",Quận Thanh Khê,Đà Nẵng,16.071535,108.212476,6.752,141,414,0,,,,Đang cập nhật,True,False,False,False,,Ăn vặt/vỉa hè,Món Việt,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lxrpwt1p3zdl69@resize_ss640x400,https://www.foody.vn/da-nang/che-lien-da-nang-hai-phong,/da-nang/che-lien-da-nang-hai-phong/goi-mon
1059105,"Gà Rán, Pizza & Mỳ Ý TUS Street Food - Âu Cơ","108B Âu Cơ, P. Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",Quận Liên Chiểu,Đà Nẵng,16.070602,108.147667,10.0,1,0,0,,,,Đang cập nhật,True,False,False,False,,Ăn vặt/vỉa hè,Món Việt,https://down-vn.img.susercontent.com/vn-11134513-7ras8-md9w9vy85mel1a@resize_ss640x400,https://www.foody.vn/da-nang/ga-ran-pizza-my-y-tus-street-food-au-co,/da-nang/ga-ran-pizza-my-y-tus-street-food-au-co/goi-mon
1005328,Tiệm Ăn Chợ Lớn - Nguyễn Văn Thoại,"83 Nguyễn Văn Thoại, Quận Sơn Trà, Đà Nẵng",Quận Sơn Trà,Đà Nẵng,16.054235,108.239052,8.9,2,12,0,,,,Đang cập nhật,True,False,False,False,,Nhà hàng,Món Việt,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu9l2z6afusf8@resize_ss640x400,https://www.foody.vn/da-nang/tiem-an-cho-lon-nguyen-van-thoai,/da-nang/tiem-an-cho-lon-nguyen-van-thoai/goi-mon
12459,Tiệm Ăn Chợ Lớn - Ông Ích Khiêm,"267 Ông Ích Khiêm, Quận Hải Châu, Đà Nẵng",Quận Hải Châu,Đà Nẵng,16.069053,108.21368,7.132,155,598,0,,,,Đang cập nhật,True,False,False,False,,Quán ăn,Món Trung Hoa,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lstqbpslyh7d47@resize_ss640x400,https://www.foody.vn/da-nang/tiem-an-cho-lon-ong-ich-khiem,/da-nang/tiem-an-cho-lon-ong-ich-khiem/goi-mon
45122,Bún Đậu Mắm Tôm Cô Thường - Hải Phòng,"K136/25 Hải Phòng, P. Thạch Thang, Quận Hải Châu, Đà Nẵng",Quận Hải Châu,Đà Nẵng,16.072305,108.214684,6.622,329,1253,0,,,,Đang cập nhật,True,False,False,False,,Quán ăn,Món Bắc,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lstrn1f2wrdlce@resize_ss640x400,https://www.foody.vn/da-nang/bun-dau-mam-tom-co-thuong-hai-phong,/da-nang/bun-dau-mam-tom-co-thuong-hai-phong/goi-mon
108266,Bánh Mì & Bánh Bao Ba Hưng Bakery - 40 Lê Văn Hiến,"40 Lê Văn Hiến, P. Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",Quận Ngũ Hành Sơn,Đà Nẵng,16.036874,108.24371,6.59,20,83,0,,,,(0236) 3 847 265 ,True,False,False,False,,Tiệm bánh,Món Việt,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lstsxwnduojo0d@resize_ss640x400,https://www.foody.vn/da-nang/banh-mi-banh-bao-ba-hung-bakery-40-le-van-hien,/da-nang/banh-mi-banh-bao-ba-hung-bakery-40-le-van-hien/goi-mon
968742,Trình Cà Phê - Phạm Hồng Thái,"25 Phạm Hồng Thái, P. Hải Châu 1, Quận Hải Châu, Đà Nẵng",Quận Hải Châu,Đà Nẵng,16.067348,108.2217426,7.5,10,29,0,,,,093 245 38 11,True,False,False,False,,Café/Dessert,Món Việt,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu8mo4d7e6x6a@resize_ss640x400,https://www.foody.vn/da-nang/trinh-ca-phe-pham-hong-thai,/da-nang/trinh-ca-phe-pham-hong-thai/goi-mon
687907,Bồ Câu - Gà Ác,"91 Nguyễn Hữu Thọ, P. Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",Quận Hải Châu,Đà Nẵng,16.0529152,108.209175,10.0,1,0,0,,,,Đang cập nhật,True,False,False,False,,Quán ăn,Món Miền Trung,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu18bgr2xfo8d@resize_ss640x400,https://www.foody.vn/da-nang/bo-cau-ga-ac,/da-nang/bo-cau-ga-ac/goi-mon
